City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Sur,OM,22.57,59.53,80.31,76,96,13.49,overcast clouds
150,Fairbanks,US,64.84,-147.72,57.99,93,75,3.36,broken clouds
151,Hasaki,JP,35.73,140.83,75.2,94,40,6.93,mist
152,Geraldton,AU,-28.77,114.6,48.2,87,40,6.93,scattered clouds
153,Gigmoto,PH,13.78,124.39,81.14,81,100,4.81,overcast clouds
154,Eyrarbakki,IS,63.86,-21.15,62.01,87,85,4.7,overcast clouds
155,Ponta Do Sol,PT,32.67,-17.1,80.01,65,0,2.93,clear sky
156,Moron,AR,-34.65,-58.62,66.2,39,0,12.75,clear sky
157,Alofi,NU,-19.06,-169.92,73.4,88,77,8.05,broken clouds
158,Lorengau,PG,-2.02,147.27,76.86,87,100,6.62,moderate rain
159,Lasa,IT,46.62,10.7,66.0,63,40,4.7,scattered clouds
160,Lebu,CL,-37.62,-73.65,50.76,91,100,20.85,light rain
161,Betare Oya,CM,5.6,14.08,68.29,96,99,3.31,light rain
162,Puerto Ayora,EC,-0.74,-90.35,75.2,60,40,14.99,scattered clouds
163,Sinnamary,GF,5.38,-52.95,85.55,69,17,11.05,light rain
164,Rio Gallegos,AR,-51.62,-69.22,42.8,33,20,21.92,few clouds
165,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,50.0,100,75,4.47,light intensity shower rain
166,Labuhan,ID,-6.88,112.21,78.37,77,25,7.29,scattered clouds
167,Bethel,US,41.37,-73.41,87.01,58,1,5.82,clear sky
168,Mayo,US,38.89,-76.51,89.01,78,1,9.17,clear sky
169,Bay Roberts,CA,47.6,-53.26,70.0,100,1,1.99,clear sky
170,Belaya Gora,RU,68.53,146.42,34.07,93,99,5.97,overcast clouds
171,Dikson,RU,73.51,80.55,46.51,78,0,9.6,clear sky
172,Santa Maria,BR,-29.68,-53.81,69.8,46,0,14.99,clear sky
173,Itoman,JP,26.12,127.67,82.4,88,75,27.51,shower rain
174,Oktyabrskiy,RU,54.48,53.47,55.35,84,0,2.71,clear sky
175,Bulawayo,ZW,-20.15,28.58,61.21,34,2,7.61,clear sky
176,Tondano,ID,1.3,124.91,75.2,83,20,1.12,few clouds
177,Urucui,BR,-7.23,-44.56,99.37,20,3,7.87,clear sky
178,Sabang,ID,5.89,95.32,83.98,68,34,5.35,scattered clouds
179,Normandin,CA,48.83,-72.53,71.6,53,20,8.05,few clouds
180,Haines Junction,CA,60.75,-137.51,55.06,68,92,2.84,overcast clouds
181,Marystown,CA,47.17,-55.15,64.99,62,0,14.81,clear sky
182,Chipata,ZM,-13.63,32.65,63.73,60,78,5.17,broken clouds
183,Altamont,US,42.21,-121.74,73.99,59,1,4.68,smoke
184,Lakselv,NO,70.05,24.97,62.6,67,86,17.22,overcast clouds
185,Esperance,AU,-33.87,121.9,50.0,100,75,3.36,broken clouds
186,Yanam,IN,16.73,82.22,77.23,94,100,2.91,light rain
187,Taksimo,RU,56.34,114.88,54.73,81,100,1.21,overcast clouds
