City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Tecoanapa,MX,87.31,broken clouds,16.52,-98.75,Hotel Manglares
550,Boffa,GN,80.46,light rain,10.17,-14.03,Hôtel Niara Belly
556,Jega,NG,82.62,overcast clouds,12.22,4.38,Jega Guest Inn
557,Lat Yao,TH,77.25,overcast clouds,15.75,99.79,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
558,Puerto Colombia,CO,86.0,shower rain,10.99,-74.95,Hotel El Emigrante
559,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
563,Acarau,BR,83.75,clear sky,-2.89,-40.12,castelo pizzaria
564,Porto Novo,BJ,76.14,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
568,Kerema,PG,75.47,overcast clouds,-7.96,145.78,Elore Lodge
569,Half Moon Bay,US,75.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
573,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
576,Kuching,MY,78.8,thunderstorm,1.55,110.33,Hilton Kuching
577,Yaring,TH,79.29,broken clouds,6.87,101.37,My Home Pokku
578,Tera,NE,89.89,scattered clouds,14.01,0.75,Hotel Daressalam Téra
583,Celestun,MX,87.39,clear sky,20.87,-90.4,Posada Lilia
584,Palauig,PH,81.57,overcast clouds,15.44,119.9,Myhousebythesea
585,Sechura,PE,76.06,clear sky,-5.56,-80.82,Hospedaje Costa Bella
587,Biltine,TD,85.53,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
588,Anastacio,BR,80.38,broken clouds,-20.48,-55.81,HOTEL ARARAS
589,Daokou,CN,81.0,overcast clouds,35.56,114.51,Shangri-La Hotel
592,Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
593,Pendleton,US,79.0,clear sky,45.67,-118.79,Americas Best Value Inn Pendleton
594,Tomatlan,MX,90.0,scattered clouds,19.93,-105.25,Norma franco
596,Shelburne,CA,86.0,clear sky,44.08,-80.2,The Retreat at the Farm
600,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
603,Salinopolis,BR,82.54,light rain,-0.61,-47.36,Hotel Salinópolis
604,Tevaitoa,PF,76.6,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
605,Mao,ES,78.8,clear sky,39.89,4.27,ARTIEM Capri
608,Vila,PT,80.01,few clouds,42.03,-8.16,Hotel Castrum Villae
610,Dinar,TR,80.6,clear sky,38.06,30.17,Dinar Öğretmenevi
613,Huescar,ES,80.01,clear sky,37.81,-2.54,Hotel El Maño
616,Salamiyah,SY,76.86,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
619,Warri,NG,77.34,overcast clouds,5.52,5.75,BON Hotel Delta
625,Methoni,GR,89.6,few clouds,36.82,21.7,Methoni Beach Hotel
629,Kalmunai,LK,81.46,scattered clouds,7.42,81.82,VS Villa
634,Palestine,PS,84.2,clear sky,31.92,35.2,Grand Park Hotel
635,Dhidhdhoo,MV,84.0,light rain,6.88,73.1,Dhidhoo beach
636,Jalu,LY,87.39,clear sky,29.03,21.55,Jalu Hotel
639,Chake Chake,TZ,75.36,clear sky,-5.25,39.77,Hotel Archipelago
641,Manokwari,ID,78.26,light rain,-0.87,134.08,Swiss Belhotel Manokwari
646,Ardesen,TR,75.2,few clouds,41.19,40.99,Green Suada Hotel
648,Brookside,US,84.0,light rain,39.67,-75.73,Homewood Suites by Hilton Newark-Wilmington South Area
656,Kangaba,ML,82.58,overcast clouds,11.93,-8.42,Hôtel Mandé
659,Nantucket,US,75.2,clear sky,41.28,-70.1,Jared Coffin House
660,Qom,IR,80.24,clear sky,34.64,50.88,Qom International Hotel
664,Aquiraz,BR,82.4,few clouds,-3.9,-38.39,Hotel Laguna Blu
665,Qinzhou,CN,81.1,clear sky,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
667,Coahuayana,MX,78.8,haze,18.73,-103.68,Hotel Los Arcos
668,Kashi,CN,82.4,clear sky,39.45,75.98,帕米尔青年旅舍
671,Seoul,KR,75.2,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
673,Yangjiang,CN,79.23,broken clouds,21.85,111.97,HUALUXE Yangjiang City Center
679,Surt,LY,80.73,clear sky,31.21,16.59,City Hotel
680,Maragogi,BR,78.17,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
681,Tecolutla,MX,89.6,scattered clouds,20.48,-97.02,Hotel Plaza Marsol
683,Bubaque,GW,80.22,overcast clouds,11.28,-15.83,Casa Dora
691,Kudahuvadhoo,MV,84.54,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
696,Punto Fijo,VE,85.44,broken clouds,11.7,-70.2,Santa Fe Inn Hotel
